DOWNLOAD DATE AND TIME: 08/05/2023 - 13:11:08
 
TAG: LCA-3119-J10-   SN: 20000   MANUF.DATE: 09/23/2022
 
OPERATION MODE: LOCAL/SCADA   
USE MODE: 		CPO           
 
PRESSURES
LINE PRESSURE         RANGE:     0/10000 PSI
P2                    RANGE:     0/10000 PSI
P3                    RANGE:     0/15000 PSI
PILOT PRESSURE        RANGE:     0/  232 PSI
POWER PRESSURE        RANGE:     0/ 3626 PSI
 
VALVES
V1 TYPE:   VSM   OPENING TIME OUT:  60 S   CLOSING TIME OUT: 120 S   STARTING TIME:   0 S   PST FREQ.:     0 H
V2 TYPE:  WING   OPENING TIME OUT:  30 S   CLOSING TIME OUT: 120 S   PST FREQ.:     0 H
V3 TYPE: CHOKE   OPENING TIME OUT:  50 S   CLOSING TIME OUT:  50 S   ENABLED: YES   POS. INDICATOR: YES
 
TRIGGERS
LOW LEVEL:   711 PSI   HIGH LEVEL:  1565 PSI   HYSTERESIS:    50 PSI
 
CHOKE CONFIG
POSITION: + RESTR.
 
HYDRAULIC CONFIG
PUMP SELECTION: ALTERNATE
MIN. POWER PRESSURE:  1300 PSI
MAX. POWER PRESSURE:  1800 PSI
MIN. PILOT PRESSURE:    50 PSI
MAX. PILOT PRESSURE:   120 PSI
MAX. LIMIT PRESSURE:  3000 PSI
FIST HIT DETECTION PRESSURE:    10 PSI
 
SERIAL COMMUNICATION
ENABLE: YES  PROTOCOL: MODBUS-RTU   BAUD RATE: 9600   PARITY: NO     STOP BITS: 2   SLAVE: 1
 
FACTORY
MODEL: E02   FIRMWARE: V01.42
 
 
NUMBER OF CAPTURES: 003041
 
   DATE   ;  TIME  ;Pline; P2 ; P3 ;Ppilot;Ppower
08/03/2023;18:29:03;1282 ;0000;0000; 0085 ; 1450 
08/03/2023;18:30:03;1282 ;0000;0000; 0085 ; 1448 
08/03/2023;18:31:02;1282 ;0000;0000; 0087 ; 1447 
08/03/2023;18:32:02;1282 ;0000;0000; 0085 ; 1445 
08/03/2023;18:33:02;1282 ;0000;0000; 0085 ; 1443 
08/03/2023;18:34:01;1285 ;0000;0000; 0085 ; 1442 
08/03/2023;18:35:01;1282 ;0000;0000; 0085 ; 1442 
08/03/2023;18:36:01;1278 ;0000;0000; 0085 ; 1440 
08/03/2023;18:37:01;1281 ;0000;0000; 0084 ; 1438 
08/03/2023;18:38:00;1281 ;0000;0000; 0084 ; 1437 
08/03/2023;18:39:00;1281 ;0000;0000; 0084 ; 1435 
08/03/2023;18:40:00;1278 ;0000;0000; 0084 ; 1433 
08/03/2023;18:41:00;1281 ;0000;0000; 0084 ; 1432 
08/03/2023;18:41:59;1281 ;0000;0000; 0085 ; 1430 
08/03/2023;18:42:59;1281 ;0000;0000; 0084 ; 1430 
08/03/2023;18:43:59;1281 ;0000;0000; 0086 ; 1428 
08/03/2023;18:44:58;1278 ;0000;0000; 0090 ; 1423 
08/03/2023;18:45:58;1281 ;0000;0000; 0090 ; 1422 
08/03/2023;18:46:58;1280 ;0000;0000; 0088 ; 1422 
08/03/2023;18:47:58;1278 ;0000;0000; 0087 ; 1418 
08/03/2023;18:48:57;1278 ;0000;0000; 0087 ; 1417 
08/03/2023;18:49:57;1278 ;0000;0000; 0087 ; 1417 
08/03/2023;18:50:57;1280 ;0000;0000; 0086 ; 1415 
08/03/2023;18:51:57;1278 ;0000;0000; 0086 ; 1412 
08/03/2023;18:52:56;1278 ;0000;0000; 0086 ; 1412 
08/03/2023;18:53:56;1278 ;0000;0000; 0086 ; 1410 
08/03/2023;18:54:56;1278 ;0000;0000; 0086 ; 1408 
08/03/2023;18:55:56;1278 ;0000;0000; 0086 ; 1407 
08/03/2023;18:56:55;1278 ;0000;0000; 0086 ; 1405 
08/03/2023;18:57:55;1278 ;0000;0000; 0086 ; 1404 
08/03/2023;18:58:55;1278 ;0000;0000; 0086 ; 1402 
08/03/2023;18:59:55;1276 ;0000;0000; 0086 ; 1400 
08/03/2023;19:00:54;1274 ;0000;0000; 0086 ; 1399 
08/03/2023;19:01:54;1277 ;0000;0000; 0086 ; 1397 
08/03/2023;19:02:54;1273 ;0000;0000; 0086 ; 1395 
08/03/2023;19:03:54;1272 ;0000;0000; 0086 ; 1394 
08/03/2023;19:04:53;1268 ;0000;0000; 0086 ; 1390 
08/03/2023;19:05:53;1268 ;0000;0000; 0086 ; 1390 
08/03/2023;19:06:53;1268 ;0000;0000; 0086 ; 1389 
08/03/2023;19:07:53;1267 ;0000;0000; 0086 ; 1387 
08/03/2023;19:08:52;1264 ;0000;0000; 0087 ; 1385 
08/03/2023;19:09:52;1264 ;0000;0000; 0086 ; 1384 
08/03/2023;19:10:52;1264 ;0000;0000; 0086 ; 1380 
08/03/2023;19:11:52;1263 ;0000;0000; 0087 ; 1379 
08/03/2023;19:12:51;1263 ;0000;0000; 0086 ; 1379 
08/03/2023;19:13:51;1263 ;0000;0000; 0087 ; 1377 
08/03/2023;19:14:51;1263 ;0000;0000; 0087 ; 1374 
08/03/2023;19:15:51;1263 ;0000;0000; 0087 ; 1374 
08/03/2023;19:16:50;1259 ;0000;0000; 0087 ; 1372 
08/03/2023;19:17:50;1259 ;0000;0000; 0087 ; 1370 
08/03/2023;19:18:50;1262 ;0000;0000; 0087 ; 1369 
08/03/2023;19:19:50;1262 ;0000;0000; 0091 ; 1364 
08/03/2023;19:20:49;1259 ;0000;0000; 0090 ; 1364 
08/03/2023;19:21:49;1259 ;0000;0000; 0090 ; 1362 
08/03/2023;19:22:49;1259 ;0000;0000; 0089 ; 1360 
08/03/2023;19:23:49;1259 ;0000;0000; 0089 ; 1359 
08/03/2023;19:24:49;1254 ;0000;0000; 0089 ; 1357 
08/03/2023;19:25:48;1258 ;0000;0000; 0089 ; 1355 
08/03/2023;19:26:48;1258 ;0000;0000; 0089 ; 1354 
08/03/2023;19:27:48;1254 ;0000;0000; 0089 ; 1352 
08/03/2023;19:28:48;1254 ;0000;0000; 0089 ; 1350 
08/03/2023;19:29:47;1254 ;0000;0000; 0089 ; 1349 
08/03/2023;19:30:47;1254 ;0000;0000; 0089 ; 1347 
08/03/2023;19:31:47;1254 ;0000;0000; 0088 ; 1346 
08/03/2023;19:32:47;1250 ;0000;0000; 0088 ; 1344 
08/03/2023;19:33:47;1250 ;0000;0000; 0089 ; 1342 
08/03/2023;19:34:46;1250 ;0000;0000; 0088 ; 1341 
08/03/2023;19:35:46;1250 ;0000;0000; 0088 ; 1339 
08/03/2023;19:36:46;1249 ;0000;0000; 0088 ; 1337 
08/03/2023;19:37:46;1249 ;0000;0000; 0088 ; 1336 
08/03/2023;19:38:45;1245 ;0000;0000; 0088 ; 1334 
08/03/2023;19:39:45;1245 ;0000;0000; 0088 ; 1332 
08/03/2023;19:40:45;1245 ;0000;0000; 0088 ; 1331 
08/03/2023;19:41:45;1246 ;0000;0000; 0088 ; 1331 
08/03/2023;19:42:45;1248 ;0000;0000; 0088 ; 1327 
08/03/2023;19:43:44;1245 ;0000;0000; 0088 ; 1327 
08/03/2023;19:44:44;1245 ;0000;0000; 0088 ; 1326 
08/03/2023;19:45:44;1245 ;0000;0000; 0088 ; 1324 
08/03/2023;19:46:44;1245 ;0000;0000; 0089 ; 1322 
08/03/2023;19:47:43;1245 ;0000;0000; 0089 ; 1321 
08/03/2023;19:48:43;1244 ;0000;0000; 0089 ; 1319 
08/03/2023;19:49:43;1241 ;0000;0000; 0089 ; 1317 
08/03/2023;19:50:43;1244 ;0000;0000; 0089 ; 1317 
08/03/2023;19:51:43;1244 ;0000;0000; 0089 ; 1316 
08/03/2023;19:52:42;1241 ;0000;0000; 0089 ; 1314 
08/03/2023;19:53:42;1244 ;0000;0000; 0089 ; 1311 
08/03/2023;19:54:42;1244 ;0000;0000; 0089 ; 1311 
08/03/2023;19:55:42;1244 ;0000;0000; 0089 ; 1309 
08/03/2023;19:56:42;1241 ;0000;0000; 0089 ; 1307 
08/03/2023;19:57:41;1241 ;0000;0000; 0089 ; 1307 
08/03/2023;19:58:41;1241 ;0000;0000; 0089 ; 1306 
08/03/2023;19:59:41;1241 ;0000;0000; 0089 ; 1304 
08/03/2023;20:00:41;1241 ;0000;0000; 0089 ; 1302 
08/03/2023;20:01:41;1241 ;0000;0000; 0089 ; 1301 
08/03/2023;20:02:40;1241 ;0000;0000; 0084 ; 1671 
08/03/2023;20:03:40;1240 ;0000;0000; 0081 ; 1648 
08/03/2023;20:04:40;1240 ;0000;0000; 0081 ; 1644 
08/03/2023;20:05:40;1239 ;0000;0000; 0081 ; 1641 
08/03/2023;20:06:39;1236 ;0000;0000; 0081 ; 1639 
08/03/2023;20:07:39;1236 ;0000;0000; 0081 ; 1638 
08/03/2023;20:08:39;1236 ;0000;0000; 0081 ; 1634 
08/03/2023;20:09:39;1235 ;0000;0000; 0081 ; 1633 
08/03/2023;20:10:39;1235 ;0000;0000; 0082 ; 1631 
08/03/2023;20:11:38;1232 ;0000;0000; 0082 ; 1628 
08/03/2023;20:12:38;1235 ;0000;0000; 0082 ; 1626 
08/03/2023;20:13:38;1235 ;0000;0000; 0081 ; 1624 
08/03/2023;20:14:38;1232 ;0000;0000; 0081 ; 1623 
08/03/2023;20:15:38;1232 ;0000;0000; 0081 ; 1619 
08/03/2023;20:16:37;1235 ;0000;0000; 0081 ; 1618 
08/03/2023;20:17:37;1235 ;0000;0000; 0081 ; 1616 
08/03/2023;20:18:37;1232 ;0000;0000; 0081 ; 1614 
08/03/2023;20:19:37;1232 ;0000;0000; 0081 ; 1613 
08/03/2023;20:20:37;1232 ;0000;0000; 0081 ; 1609 
08/03/2023;20:21:37;1232 ;0000;0000; 0081 ; 1608 
08/03/2023;20:22:36;1234 ;0000;0000; 0081 ; 1606 
08/03/2023;20:23:36;1235 ;0000;0000; 0081 ; 1604 
08/03/2023;20:24:36;1232 ;0000;0000; 0081 ; 1603 
